id,Zip Code,area,age_con,sex,ethnicity,,,,,,,q44,q45,q46,q48,q50,q51_1,q51_2,q51_3,q52_1,,q52_2,,q52_3,,q52_4,,q52_5,,q52_6,,q52_7,,q52_8,,q52_9,,q52_10,,,sts,trust,conspiracy,complexity,open,conscie,extrav,agreeab,neuro
1811,85737,rural,45,Female,Hispanic,7,2,5,Married or Partnered,Employed Full-time,2,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,COVID,,,Medium impact,2,High impact,3,Medium impact,2,Medium impact,2,Low impact,1,Low impact,1,High impact,3,High impact,3,Low impact,1,High impact,3,11,27,3.3333333,11,14,13,18,9,12,14
1812,86442,urban,45,Male,White/Caucasian,7,3,2,Married or Partnered,Employed Full-time,1,Did not vote,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Democracy,I don't know. I don't watch the news. I just watch what is going on in my local community,,,Medium impact,2,High impact,3,No impact,0,Medium impact,2,No impact,0,No impact,0,Low impact,1,Medium impact,2,No impact,0,Low impact,1,4,22,1.6666666,8,10,15,18,15,12,8
1813,85653,urban,35,Female,White/Caucasian,8,4,4,Married or Partnered,Employed Full-time,1,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Autocracy,Autocracy,Autocracy,Motorcycle accident,,,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,Low impact,1,No impact,0,No impact,0,1,27,3,9,17,12,21,18,17,7
1814,85119,urban,44,Male,White/Caucasian,2,2,1,Single,Unemployed,2,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,None,None,None,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,5,18,3,5,7,12,12,12,12,12
1815,85283,urban,53,Male,Black/African-American,5,5,3,Seperated,Employed Full-time,0,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,INFLATION,GAS PRICES,,Medium impact,2,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,Medium impact,2,Low impact,1,No impact,0,No impact,0,3,23,4.3333335,6,13,16,21,14,18,8
1816,85383,urban,68,Male,White/Caucasian,9,3,3,Married or Partnered,Retired,3,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,capital attack,ssi,covid,High impact,3,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,6,18,3.3333333,7,14,14,15,17,11,11
1817,85142,urban,59,Male,White/Caucasian,7,2,3,Seperated,Retired,2,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,"In the last 12 months, none.",,,Medium impact,2,Low impact,1,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,25,4,5,9,15,17,10,21,9
1819,85040,urban,69,Female,Black/African-American,4,3,3,Married or Partnered,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Gas prices increased,Grocery stores price increase,Heat wave in Arizona,High impact,3,High impact,3,High impact,3,High impact,3,No impact,0,Medium impact,2,High impact,3,Medium impact,2,Medium impact,2,Medium impact,2,11,31,4.6666665,8,16,21,21,7,21,12
1820,85373,urban,66,Male,White/Caucasian,6,5,2,Married or Partnered,Retired,1,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Democracy,Democracy,Inflation,Open Borders,,Medium impact,2,Medium impact,2,No impact,0,Low impact,1,Low impact,1,Low impact,1,No impact,0,No impact,0,No impact,0,Medium impact,2,3,23,1.3333334,8,9,9,9,9,15,10
1822,85204,urban,62,Female,White/Caucasian,8,5,1,Seperated,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Trump's continued lies divide us,"Hateful, blind Trump supporters terrify me",Climate change,High impact,3,Low impact,1,High impact,3,Low impact,1,Low impact,1,Medium impact,2,No impact,0,Medium impact,2,High impact,3,Low impact,1,8,23,4.3333335,8,13,15,14,19,16,15
1823,85027,urban,40,Female,White/Caucasian,8,3,3,Married or Partnered,Employed Full-time,1,Did not vote,That there is a well-functioning social system,Autocracy,Neither,Neither,Corona virus,Death,Tornado,High impact,3,High impact,3,Medium impact,2,High impact,3,No impact,0,Low impact,1,No impact,0,High impact,3,High impact,3,High impact,3,10,18,5,15,15,18,21,15,21,9
1824,85711,urban,32,Female,White/Caucasian,3,2,6,Married or Partnered,Other,2,Democratic (Ruling Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,None,,,Medium impact,2,Medium impact,2,Medium impact,2,Low impact,1,Low impact,1,Medium impact,2,Medium impact,2,Medium impact,2,High impact,3,Medium impact,2,11,15,2.6666667,11,12,14,13,13,14,11
1825,86005,rural,28,Female,Hispanic,4,3,1,Seperated,Employed Full-time,1,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,Covid,Housing market,,Medium impact,2,Medium impact,2,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,Medium impact,2,High impact,3,Low impact,1,Low impact,1,8,20,3.3333333,10,14,17,16,15,14,17
1826,85378,urban,73,Female,White/Caucasian,4,5,1,Seperated,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,None,,,No impact,0,Low impact,1,Medium impact,2,No impact,0,No impact,0,No impact,0,No impact,0,Low impact,1,No impact,0,No impact,0,1,27,4,11,15,15,16,6,16,12
1828,85738,urban,67,Female,White/Caucasian,4,5,1,Single,Employed Full-time,1,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Neither,Inflation,Alienation,Incredible hot summer,High impact,3,Medium impact,2,Medium impact,2,Low impact,1,Low impact,1,Low impact,1,High impact,3,Low impact,1,Low impact,1,Low impact,1,7,17,2.6666667,11,14,20,11,13,13,19
1829,85634,urban,41,Male,Native American,5,2,2,Single,Employed Full-time,1,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Autocracy,Democracy,Democracy,New york,Cali,Atlanta,Medium impact,2,Low impact,1,Medium impact,2,Low impact,1,Medium impact,2,Low impact,1,High impact,3,Medium impact,2,Low impact,1,Medium impact,2,9,15,3,14,10,12,13,10,15,10
1831,85226,urban,35,Female,Asian,1,4,4,Married or Partnered,Employed Full-time,1,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,COVID-19 because I'm not as sharp and quick witted and more forgetful,Inflation. I'm always broke and can't afford a car,,High impact,3,No impact,0,Medium impact,2,Low impact,1,No impact,0,Low impact,1,Medium impact,2,Low impact,1,No impact,0,Low impact,1,5,24,1.6666666,9,14,17,15,16,16,20
1832,85635,rural,72,Male,White/Caucasian,4,3,3,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,none,,,Medium impact,2,Medium impact,2,High impact,3,High impact,3,Medium impact,2,Medium impact,2,No impact,0,Medium impact,2,No impact,0,No impact,0,4,16,3,9,15,11,13,11,17,11
1833,85013,urban,53,Male,White/Caucasian,8,5,2,Married or Partnered,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,Inflation,electoral process within the United States,Electing a ANTI Christ as a past president.,High impact,3,High impact,3,High impact,3,Low impact,1,Medium impact,2,High impact,3,High impact,3,High impact,3,Low impact,1,High impact,3,13,29,4.3333335,6,13,16,18,19,14,17
1834,85021,rural,56,Male,White/Caucasian,1,3,1,Widowed,Employed Full-time,1,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Democracy,None,,,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,18,3.3333333,10,10,15,15,10,13,12
1835,85226,urban,39,Male,Hispanic,7,4,6,Married or Partnered,Employed Full-time,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,Covid,,,Medium impact,2,Medium impact,2,No impact,0,Low impact,1,Low impact,1,Medium impact,2,Medium impact,2,Low impact,1,Low impact,1,Low impact,1,7,20,2.3333333,12,10,15,18,12,15,12
1836,86004,urban,32,Male,White/Caucasian,2,5,3,Single,Employed Full-time,1,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,Fires,Floods,,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,5,18,3,11,14,9,10,9,12,12
1838,85658,rural,73,Male,White/Caucasian,8,5,3,Married or Partnered,Retired,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Climate change,Poorly run vountry,,Low impact,1,Low impact,1,High impact,3,Low impact,1,No impact,0,Medium impact,2,No impact,0,Low impact,1,Low impact,1,Low impact,1,5,29,4,5,15,15,20,11,19,5
1839,85212,rural,68,Male,White/Caucasian,7,5,2,Married or Partnered,Retired,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,Heat wave in AZ,Medical isdue,,High impact,3,High impact,3,Low impact,1,No impact,0,No impact,0,High impact,3,No impact,0,High impact,3,No impact,0,No impact,0,6,27,1.3333334,6,13,15,19,14,16,6
1840,85027,urban,42,Female,White/Caucasian,8,5,3,Married or Partnered,Employed Full-time,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,none,,,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,35,3.6666667,13,14,15,21,15,21,18
1844,85225,rural,56,Female,White/Caucasian,10,6,2,Married or Partnered,Employed Full-time,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Democracy,Democracy,Economy,Global Warming,Electing Biden,High impact,3,High impact,3,High impact,3,Medium impact,2,High impact,3,High impact,3,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,8,24,3.3333333,7,12,14,18,14,13,7
1845,85933,rural,51,Male,White/Caucasian,7,5,2,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,COVID-19 pandemic,,,Medium impact,2,Medium impact,2,No impact,0,No impact,0,No impact,0,No impact,0,Medium impact,2,High impact,3,No impact,0,Low impact,1,6,21,3,5,16,10,17,16,11,9
1846,85003,urban,49,Male,White/Caucasian,8,5,3,Married or Partnered,Employed Full-time,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Thank you for the,Everything is good and,Zach is a bit,High impact,3,Medium impact,2,Medium impact,2,High impact,3,High impact,3,High impact,3,High impact,3,High impact,3,High impact,3,Medium impact,2,14,34,3.3333333,18,17,20,21,20,15,4
1847,85541,urban,19,Male,White/Caucasian,2,2,2,Single,Other,0,Did not vote,That I can determine directly/by myself what happens in my country,Democracy,Neither,Neither,covid,inflation,,Medium impact,2,High impact,3,Medium impact,2,High impact,3,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,High impact,3,High impact,3,12,28,3,14,11,21,20,16,15,11
1848,85028,urban,36,Female,White/Caucasian,8,6,3,Married or Partnered,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Inflation,Economy,,High impact,3,Medium impact,2,Medium impact,2,Medium impact,2,Low impact,1,Low impact,1,High impact,3,No impact,0,Low impact,1,Low impact,1,6,21,4,8,16,19,17,9,13,15
1849,85122,rural,27,Female,White/Caucasian,7,2,5,Married or Partnered,Other,0,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,I am unaffected by most crisis.,The wildfires in Arizona and New Mexico affected my mental health as I have family in those places.,,High impact,3,Low impact,1,Low impact,1,No impact,0,Low impact,1,Low impact,1,Low impact,1,Low impact,1,No impact,0,No impact,0,3,25,2.3333333,7,14,21,14,13,21,19
1852,85296,urban,69,Female,White/Caucasian,8,2,1,Married or Partnered,Retired,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,Nothing,,,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Low impact,1,Medium impact,2,Medium impact,2,Medium impact,2,Low impact,1,8,22,2.6666667,8,11,7,11,5,20,14
1853,85395,urban,66,Male,White/Caucasian,8,6,1,Widowed,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Global warming,COVID 19,Inflation,No impact,0,Low impact,1,Medium impact,2,No impact,0,No impact,0,Low impact,1,No impact,0,No impact,0,No impact,0,Low impact,1,2,33,2.3333333,5,14,20,16,9,20,14
1854,85031,urban,27,Female,Black/African-American,1,2,1,Single,Other,2,Did not vote,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,Hurricane haily,Monsoons,,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,10,18,3,10,16,14,18,15,16,9
1857,85365,urban,30,Female,Hispanic,2,2,3,Married or Partnered,Employed Full-time,2,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Neither,Inflation,School safety,Police misconduct,High impact,3,High impact,3,High impact,3,Medium impact,2,High impact,3,Low impact,1,High impact,3,High impact,3,No impact,0,No impact,0,7,29,1.6666666,5,20,17,21,20,13,15
1858,85338,urban,42,Female,White/Caucasian,8,4,3,Married or Partnered,Other,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Inflation,COVID,Food Storage,High impact,3,Medium impact,2,High impact,3,Medium impact,2,Medium impact,2,Medium impact,2,High impact,3,High impact,3,Low impact,1,Medium impact,2,11,20,4,8,12,15,21,19,15,8
1859,85122,urban,29,Female,White/Caucasian,6,5,3,Married or Partnered,Other,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Democracy,Inflation,,,High impact,3,Medium impact,2,Low impact,1,No impact,0,Low impact,1,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,27,2.3333333,11,11,10,20,11,19,11
1860,85705,rural,59,Female,White/Caucasian,1,2,1,Seperated,Retired,2,Did not vote,That there is no great gap between rich and poor,Autocracy,Neither,Democracy,Inflation,,,High impact,3,Medium impact,2,High impact,3,High impact,3,Medium impact,2,Medium impact,2,No impact,0,High impact,3,No impact,0,Medium impact,2,7,30,2.3333333,6,16,12,21,19,21,9
1861,85208,urban,44,Male,White/Caucasian,8,6,4,Married or Partnered,Employed Full-time,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Inflation,Rising interest rates,,High impact,3,Medium impact,2,No impact,0,No impact,0,No impact,0,Low impact,1,High impact,3,No impact,0,Low impact,1,Low impact,1,6,28,3.3333333,7,7,12,20,18,19,7
1864,85259,urban,69,Female,White/Caucasian,5,5,1,Seperated,Retired,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Inflation,Illegal immigration,Crime,High impact,3,Low impact,1,No impact,0,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,No impact,0,Medium impact,2,5,23,2.6666667,14,10,13,18,14,20,14
1865,85122,urban,57,Female,White/Caucasian,3,5,6,Seperated,Unemployed,1,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Covid,,,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Low impact,1,High impact,3,Medium impact,2,High impact,3,Medium impact,2,High impact,3,13,33,3.3333333,11,15,18,19,11,16,14
1866,86409,rural,56,Female,White/Caucasian,1,3,2,Married or Partnered,Retired,1,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,Inflation,,,High impact,3,Medium impact,2,Medium impact,2,No impact,0,No impact,0,No impact,0,No impact,0,Medium impact,2,No impact,0,No impact,0,2,27,2.3333333,5,12,15,15,17,14,15
1867,85213,urban,66,Male,White/Caucasian,3,2,3,Married or Partnered,Employed Part-time,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,none,,,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,0,2.6666667,13,5,8,8,13,10,8
1868,85378,urban,77,Female,White/Caucasian,7,5,3,Widowed,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,none,,,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,14,3.6666667,6,9,10,12,11,13,12
1869,85027,urban,76,Male,White/Caucasian,5,2,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,personal health,inflation,weather,Medium impact,2,Medium impact,2,Medium impact,2,No impact,0,Low impact,1,No impact,0,No impact,0,Low impact,1,No impact,0,Low impact,1,2,26,3.6666667,7,12,15,18,12,18,12
1870,85379,urban,45,Male,Native American,7,4,3,Married or Partnered,Employed Full-time,1,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,School shootings,,,High impact,3,Medium impact,2,Medium impact,2,High impact,3,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Low impact,1,Medium impact,2,9,19,2.6666667,7,13,13,17,14,18,9
1871,85303,urban,21,Male,Hispanic,6,5,3,Married or Partnered,Employed Full-time,1,Democratic (Ruling Party),That there is a well-functioning social system,Democracy,Democracy,Neither,None,None,None,High impact,3,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,10,20,3,14,13,13,13,12,15,16
1872,85382,urban,49,Male,White/Caucasian,7,3,4,Single,Employed Full-time,2,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Autocracy,Racial division,,,High impact,3,Medium impact,2,Low impact,1,Low impact,1,Low impact,1,Low impact,1,High impact,3,Low impact,1,Low impact,1,Low impact,1,7,17,2.6666667,11,11,9,19,13,17,14
1873,85304,urban,32,Female,White/Caucasian,7,6,6,Married or Partnered,Other,1,Republican (Opposing Party),That I can determine directly/by myself what happens in my country,Democracy,Neither,Neither,Covid,,,High impact,3,Medium impact,2,Low impact,1,Low impact,1,Low impact,1,Medium impact,2,Medium impact,2,High impact,3,Low impact,1,Low impact,1,9,26,3.3333333,9,15,11,16,12,16,17
1875,85345,urban,22,Female,White/Caucasian,1,3,2,Single,Other,1,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,Inflation,Job loss,House marketing,High impact,3,High impact,3,High impact,3,High impact,3,Low impact,1,High impact,3,High impact,3,No impact,0,High impact,3,No impact,0,9,34,1.6666666,9,16,21,17,9,16,18
1877,85024,urban,38,Male,Hispanic,6,3,1,Single,Employed Full-time,0,Republican (Opposing Party),That I can determine directly/by myself what happens in my country,Autocracy,Autocracy,Autocracy,Inflation,,,High impact,3,Low impact,1,Low impact,1,Low impact,1,Medium impact,2,Medium impact,2,Low impact,1,Medium impact,2,Medium impact,2,Low impact,1,8,36,2.6666667,13,12,19,19,12,18,11
1878,85742,urban,50,Female,White/Caucasian,10,6,3,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Economy,COVID,,Medium impact,2,Medium impact,2,Medium impact,2,Low impact,1,Low impact,1,Medium impact,2,No impact,0,Medium impact,2,Medium impact,2,Medium impact,2,8,29,3.3333333,5,15,17,16,19,17,16
1879,85201,urban,69,Female,White/Caucasian,5,6,1,Seperated,Employed Part-time,1,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,Covid19 pandemic,,,High impact,3,Medium impact,2,Low impact,1,High impact,3,Low impact,1,Low impact,1,Low impact,1,High impact,3,Low impact,1,High impact,3,9,31,4.3333335,8,17,16,15,13,14,8
1880,85306,urban,53,Male,White/Caucasian,9,6,5,Married or Partnered,Employed Full-time,2,Republican (Opposing Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,pandemic,,,Low impact,1,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,Low impact,1,Medium impact,2,Medium impact,2,Low impact,1,No impact,0,6,18,4.3333335,8,13,13,15,21,21,7
1882,85374,urban,63,Male,White/Caucasian,8,3,2,Married or Partnered,Employed Full-time,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,Bidens inflation,,,High impact,3,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,Low impact,1,1,20,3.3333333,12,8,11,19,18,18,14
1883,85541,rural,54,Male,White/Caucasian,7,5,2,Single,Employed Part-time,2,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Covid,,,Medium impact,2,Medium impact,2,Medium impact,2,No impact,0,No impact,0,Low impact,1,Low impact,1,No impact,0,Low impact,1,Low impact,1,4,24,4,6,16,13,16,13,18,10
1886,85209,urban,51,Female,White/Caucasian,7,6,1,Single,Employed Full-time,1,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,none,,,Medium impact,2,High impact,3,High impact,3,Medium impact,2,Medium impact,2,High impact,3,High impact,3,Medium impact,2,High impact,3,High impact,3,14,18,4,5,14,15,18,19,17,8
1888,85008,urban,27,Female,Black/African-American,8,5,2,Single,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,"Climate change, increase in temperatures","Housing, cost to rent has increased","Inflation, cost of living has increased",High impact,3,Medium impact,2,Medium impact,2,Low impact,1,No impact,0,Low impact,1,No impact,0,Low impact,1,No impact,0,No impact,0,2,30,4.6666665,8,18,15,19,14,21,12
1889,85139,rural,21,Female,White/Caucasian,4,0,5,Seperated,Employed Full-time,1,Did not vote,That I can determine directly/by myself what happens in my country,Autocracy,Neither,Neither,Death,,,Medium impact,2,High impact,3,Medium impact,2,Low impact,1,Low impact,1,Low impact,1,High impact,3,Medium impact,2,Low impact,1,High impact,3,10,23,2.3333333,10,12,14,17,16,19,19
1890,85225,urban,35,Female,Hispanic,4,4,3,Single,Employed Full-time,0,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,No comment,,,High impact,3,High impact,3,High impact,3,High impact,3,Medium impact,2,Medium impact,2,High impact,3,High impact,3,Low impact,1,Medium impact,2,11,25,3,12,13,17,17,11,14,10
1891,85259,urban,74,Male,White/Caucasian,8,3,2,Married or Partnered,Employed Part-time,1,Republican (Opposing Party),That there is a well-functioning social system,Democracy,Neither,Neither,ucrane,,,Low impact,1,Low impact,1,Low impact,1,Medium impact,2,Low impact,1,Medium impact,2,Medium impact,2,Low impact,1,Medium impact,2,Medium impact,2,9,18,3,13,13,11,16,13,16,7
1893,86413,rural,71,Male,White/Caucasian,4,4,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,none,,,Low impact,1,No impact,0,Low impact,1,Low impact,1,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,23,4,5,13,15,15,14,18,14
1894,85234,urban,73,Female,White/Caucasian,2,2,3,Widowed,Unemployed,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,inflation,rising costs of renting property,,High impact,3,High impact,3,Medium impact,2,Low impact,1,Low impact,1,Medium impact,2,Medium impact,2,Low impact,1,Low impact,1,Low impact,1,7,15,2.3333333,10,15,17,20,8,17,15
1895,85635,urban,52,Female,White/Caucasian,7,3,2,Married or Partnered,Unemployed,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,none,,,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,No impact,0,Low impact,1,No impact,0,Low impact,1,Low impact,1,Low impact,1,4,24,3.6666667,9,11,16,15,8,17,17
1896,85225,urban,59,Female,White/Caucasian,7,6,2,Married or Partnered,Retired,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Democracy,Democracy,election fraud in U.S. in 2020,invasion of illegal aliens into U.S.,corruption/embezzlement of aid funds to Ukraine,High impact,3,Medium impact,2,No impact,0,Low impact,1,High impact,3,Low impact,1,Low impact,1,No impact,0,Low impact,1,Low impact,1,4,34,1,10,5,9,21,9,9,6
1897,85297,urban,49,Female,White/Caucasian,7,5,1,Married or Partnered,Other,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Autocracy,Neither,Neither,None,,,High impact,3,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,High impact,3,High impact,3,No impact,0,No impact,0,6,19,4.3333335,13,11,11,17,9,15,20
1898,85209,rural,45,Female,White/Caucasian,9,3,5,Married or Partnered,Employed Full-time,1,Republican (Opposing Party),That there is no great gap between rich and poor,Autocracy,Neither,Autocracy,Inflation,High interest rates,Failing economy,High impact,3,Medium impact,2,Medium impact,2,No impact,0,No impact,0,Low impact,1,Medium impact,2,Medium impact,2,No impact,0,No impact,0,5,28,3,7,14,12,20,9,15,21
1899,85712,urban,42,Male,White/Caucasian,1,5,2,Married or Partnered,Other,2,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,Climate change,,,No impact,0,Low impact,1,High impact,3,Low impact,1,No impact,0,Low impact,1,No impact,0,Low impact,1,Low impact,1,No impact,0,3,28,4,7,18,19,15,7,19,9
1900,85048,urban,31,Female,Hispanic,6,5,3,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,pandemic,politics,,Medium impact,2,Medium impact,2,High impact,3,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Low impact,1,Low impact,1,Medium impact,2,8,22,2.6666667,15,13,16,14,12,13,12
1901,85210,urban,38,Male,White/Caucasian,10,6,5,Married or Partnered,Employed Full-time,3,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Day hot,,,Medium impact,2,Medium impact,2,Medium impact,2,High impact,3,Medium impact,2,Medium impact,2,High impact,3,Medium impact,2,High impact,3,High impact,3,13,31,4.6666665,19,17,21,12,12,12,6
1902,0,urban,67,Female,White/Caucasian,7,5,3,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,war,covid,inflation,Medium impact,2,High impact,3,High impact,3,Medium impact,2,Low impact,1,High impact,3,Medium impact,2,High impact,3,Low impact,1,Low impact,1,10,25,4.6666665,5,16,19,21,12,21,9
1903,85254,urban,76,Female,White/Caucasian,8,5,1,Seperated,Employed Full-time,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Democracy,the people that have been elected falsely,,,Low impact,1,Medium impact,2,No impact,0,Low impact,1,Low impact,1,Medium impact,2,Low impact,1,No impact,0,Medium impact,2,Low impact,1,6,20,3.6666667,14,12,14,20,17,15,11
1904,85345,urban,30,Female,White/Caucasian,2,2,5,Single,Employed Part-time,1,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,Gas prices,Food prices,Covied,High impact,3,High impact,3,High impact,3,High impact,3,Medium impact,2,Low impact,1,High impact,3,High impact,3,Medium impact,2,High impact,3,12,22,1.3333334,14,16,14,15,18,17,15
